epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6594,3.41194,5.15945,2.54981,0.42398,0.00833,0.01356,0.00758,3.21973,5.20203,2.45713,6.25e-05,6.25e-05,6.25e-05
2,14.8914,3.00932,3.70941,2.2679,0.52197,0.21508,0.21261,0.07999,2.71471,3.51703,1.9172,0.000135231,0.000135231,0.000135231
3,18.3762,2.485,2.62808,1.88657,0.62383,0.3338,0.25606,0.08509,2.36048,3.66277,1.67354,0.000205487,0.000205487,0.000205487
4,21.4627,2.44902,2.25255,1.79036,0.66249,0.40154,0.35281,0.15182,2.38855,2.65267,1.77528,0.000273269,0.000273269,0.000273269
5,23.9732,2.48459,2.07312,1.88056,0.41835,0.37341,0.35219,0.15177,2.47761,2.22811,1.77024,0.000338575,0.000338575,0.000338575
6,26.5513,2.38707,1.95663,1.74728,0.40261,0.44841,0.42476,0.18706,2.42068,2.16894,1.71221,0.000401406,0.000401406,0.000401406
7,30.0356,2.1804,1.81196,1.66675,0.6799,0.34614,0.4587,0.20927,2.39295,1.79592,1.73088,0.000461763,0.000461763,0.000461763
8,32.4127,2.23627,1.75724,1.58249,0.41638,0.3724,0.36949,0.14083,2.37386,2.23014,1.69395,0.000519644,0.000519644,0.000519644
9,34.7629,2.10665,1.7042,1.55342,0.46198,0.43364,0.41745,0.16033,2.45631,1.92325,1.79401,0.00057505,0.00057505,0.00057505
10,37.1561,2.18836,1.67013,1.62444,0.50649,0.49864,0.46883,0.19801,2.43083,1.72546,1.72484,0.000627981,0.000627981,0.000627981
11,39.5555,2.1666,1.55466,1.56581,0.41373,0.51147,0.42674,0.17153,2.34643,2.17232,1.64361,0.000678438,0.000678438,0.000678438
12,42.6463,2.04575,1.44601,1.50557,0.70629,0.45079,0.42251,0.15993,2.38796,2.49404,1.71564,0.000726419,0.000726419,0.000726419
13,45.1045,2.09466,1.49413,1.53593,0.51736,0.54123,0.51329,0.22293,2.34673,1.96431,1.6875,0.000771925,0.000771925,0.000771925
14,47.4049,2.12183,1.54932,1.55797,0.74553,0.4142,0.51232,0.18595,2.46645,2.16415,1.75113,0.000814956,0.000814956,0.000814956
15,49.5693,2.02356,1.48328,1.54914,0.49257,0.41835,0.49035,0.16669,2.52074,2.20498,1.78222,0.000855512,0.000855512,0.000855512
16,51.8259,1.97824,1.42931,1.46797,0.66962,0.40104,0.50395,0.1919,2.40326,1.72051,1.76637,0.000893594,0.000893594,0.000893594
17,54.6618,1.95357,1.30707,1.44264,0.79323,0.38463,0.49449,0.20751,2.35228,1.67916,1.72645,0.00092,0.00092,0.00092
18,57.4258,1.89016,1.30982,1.41655,0.8523,0.42191,0.49134,0.16017,2.39841,1.72813,1.82068,0.000899375,0.000899375,0.000899375
19,59.6478,1.88626,1.32676,1.44947,0.58258,0.4316,0.45549,0.15103,2.39702,1.63446,1.81004,0.00087875,0.00087875,0.00087875
20,61.9909,1.97167,1.36649,1.46161,0.67234,0.48123,0.52785,0.20291,2.35211,1.49935,1.74514,0.000858125,0.000858125,0.000858125
21,64.2462,1.95121,1.30341,1.42976,0.73293,0.50417,0.55363,0.21589,2.3184,1.58063,1.77529,0.0008375,0.0008375,0.0008375
22,66.8197,1.929,1.2618,1.42138,0.65865,0.46628,0.49057,0.20332,2.3206,1.66021,1.73301,0.000816875,0.000816875,0.000816875
23,69.8363,1.86192,1.16959,1.36058,0.70709,0.49395,0.54294,0.21415,2.27615,1.59942,1.6722,0.00079625,0.00079625,0.00079625
24,72.0515,1.83692,1.20623,1.40227,0.82182,0.4633,0.5819,0.2449,2.28272,1.59718,1.66644,0.000775625,0.000775625,0.000775625
25,74.4307,1.74652,1.16895,1.34762,0.78145,0.46316,0.56596,0.24835,2.23209,1.51556,1.66795,0.000755,0.000755,0.000755
26,76.8231,1.79437,1.1517,1.35039,0.57476,0.61381,0.59261,0.25496,2.23703,1.35543,1.66457,0.000734375,0.000734375,0.000734375
27,79.2797,1.74969,1.12197,1.34926,0.65147,0.58639,0.60801,0.26308,2.25049,1.30691,1.62628,0.00071375,0.00071375,0.00071375
28,82.3973,1.78667,1.16289,1.38099,0.53731,0.62467,0.60921,0.24214,2.2641,1.39656,1.63382,0.000693125,0.000693125,0.000693125
29,84.6409,1.69766,1.09243,1.33233,0.54302,0.64037,0.61262,0.23782,2.28622,1.38712,1.68118,0.0006725,0.0006725,0.0006725
30,87.0148,1.70604,1.12575,1.31911,0.59626,0.56349,0.64122,0.24941,2.27997,1.24425,1.64361,0.000651875,0.000651875,0.000651875
31,89.2011,1.68255,1.06951,1.32353,0.93622,0.51746,0.65039,0.28483,2.13134,1.14654,1.56717,0.00063125,0.00063125,0.00063125
32,91.6454,1.70588,1.10255,1.29065,0.77472,0.60742,0.65681,0.29148,2.1131,1.12255,1.56184,0.000610625,0.000610625,0.000610625
33,94.8681,1.5854,1.00935,1.26118,0.76191,0.61769,0.67235,0.29259,2.1558,1.10429,1.58832,0.00059,0.00059,0.00059
34,97.9282,1.65539,1.0394,1.27322,0.61412,0.65565,0.66179,0.26705,2.20991,1.14227,1.61802,0.000569375,0.000569375,0.000569375
35,100.08,1.62667,1.01227,1.24743,0.62304,0.63345,0.62247,0.25211,2.22424,1.14508,1.65071,0.00054875,0.00054875,0.00054875
36,102.558,1.63682,1.03991,1.28965,0.53777,0.57298,0.57754,0.23282,2.30344,1.20502,1.71374,0.000528125,0.000528125,0.000528125
37,104.814,1.62072,1.04591,1.25304,0.53144,0.64273,0.60946,0.23746,2.34791,1.19775,1.70725,0.0005075,0.0005075,0.0005075
38,107.93,1.60774,1.01486,1.21763,0.61166,0.61535,0.62112,0.22774,2.33715,1.09337,1.75765,0.000486875,0.000486875,0.000486875
39,110.308,1.55913,0.98536,1.25597,0.62756,0.65363,0.6324,0.23881,2.30238,1.07536,1.73436,0.00046625,0.00046625,0.00046625
40,112.559,1.55666,0.96906,1.2447,0.56988,0.62673,0.62007,0.25936,2.24902,1.04263,1.71521,0.000445625,0.000445625,0.000445625
41,114.923,1.55151,1.01699,1.26575,0.58679,0.66779,0.6419,0.26907,2.24139,1.04421,1.69452,0.000425,0.000425,0.000425
42,117.285,1.5357,0.94949,1.19533,0.5978,0.71706,0.6581,0.28538,2.21988,1.05865,1.68912,0.000404375,0.000404375,0.000404375
43,119.98,1.49223,0.99716,1.27521,0.9445,0.56084,0.65196,0.28224,2.20212,1.05107,1.66445,0.00038375,0.00038375,0.00038375
44,122.931,1.42525,0.91479,1.18725,0.59498,0.68144,0.64368,0.28883,2.21572,1.04888,1.64081,0.000363125,0.000363125,0.000363125
45,125.427,1.42693,0.9104,1.17785,0.62174,0.6597,0.64616,0.29899,2.21695,1.04502,1.64033,0.0003425,0.0003425,0.0003425
46,127.973,1.44934,0.91664,1.19264,0.62211,0.66803,0.65301,0.28582,2.21822,1.06086,1.63737,0.000321875,0.000321875,0.000321875
47,130.178,1.48016,0.94301,1.17624,0.62731,0.68192,0.66807,0.28855,2.24763,1.09073,1.65317,0.00030125,0.00030125,0.00030125
48,132.864,1.4522,0.89726,1.16904,0.67097,0.67357,0.65941,0.28399,2.23614,1.07808,1.66539,0.000280625,0.000280625,0.000280625
49,135.834,1.45806,0.93019,1.17024,0.64822,0.68927,0.6699,0.28389,2.23158,1.05583,1.65696,0.00026,0.00026,0.00026
50,138.23,1.40986,0.8655,1.12856,0.69371,0.6344,0.66442,0.28419,2.23447,1.07058,1.68534,0.000239375,0.000239375,0.000239375
51,149.129,1.52377,1.00038,1.24162,0.69376,0.64049,0.66523,0.29262,2.22263,1.04737,1.68686,0.00021875,0.00021875,0.00021875
52,154.092,1.47637,0.95965,1.19976,0.62752,0.65426,0.68044,0.27745,2.22656,1.04421,1.70567,0.000198125,0.000198125,0.000198125
53,157.307,1.41422,0.92344,1.20088,0.62965,0.65379,0.68167,0.28589,2.22869,1.02474,1.71039,0.0001775,0.0001775,0.0001775
54,161.099,1.43936,0.89533,1.20584,0.61788,0.64846,0.66107,0.2673,2.25885,1.04211,1.73385,0.000156875,0.000156875,0.000156875
55,163.626,1.43106,0.90202,1.17915,0.62065,0.66767,0.66545,0.27817,2.25396,1.0475,1.72913,0.00013625,0.00013625,0.00013625
56,165.867,1.36136,0.83044,1.11577,0.64694,0.68156,0.69248,0.28584,2.23981,1.0348,1.71925,0.000115625,0.000115625,0.000115625
57,168.219,1.39924,0.86956,1.17946,0.65863,0.68431,0.68978,0.28699,2.23066,1.01616,1.71767,9.5e-05,9.5e-05,9.5e-05
58,170.426,1.3307,0.83711,1.15754,0.64215,0.69822,0.68661,0.29327,2.22889,1.00339,1.7143,7.4375e-05,7.4375e-05,7.4375e-05
59,173.366,1.30468,0.79576,1.12358,0.6337,0.68955,0.6869,0.28752,2.22932,0.99758,1.70972,5.375e-05,5.375e-05,5.375e-05
